"","Country","Year","GDP","Corporate income tax rate","Taxes_on_income_prof_k_corp_tax_rev_gdp","Taxes_on_income_prof_corp_tax_rev_gdp","Unemployment rate","Unemployment rate men","Unemployment rate women","Gini","Pre_tax_national_income_Top_10%","Net_personal_wealth_Top_10%","Inflation","Interest_Rate","Net_operating_surplus_mix_income","CAPN","CAPN_ICT","CPNK","CPNK_ICT","Wages_LC","Wages_LC_C","Wages_PPP","Growth"
"1","Australia","2000",721823.005,34,6.161,6.161,"6.2876880754521567","6.4588439101271709","6.0696021538296359",NA,0.3071,0.5582,4.45743514797225,6.25,159259,2152159,65456,3352168,26533,46246.8687311859,72061.1359958189,45864.2246839447,2.03830064655347
"2","Australia","2001",750800.782,30,4.349,4.349,"6.7464964299343091","6.9818882595564897","6.4505660415040396",33.5,0.2933,0.5566,4.4071353620147,4.28,179620,2265831,68837,3443031,30162,48315.9823911002,72786.112537928,46325.6452063718,4.01452666363827
"3","Australia","2002",774153.128,30,4.953,4.953,"6.3745730715809952","6.5353203645570037","6.1732247960738533",NA,0.3016,0.5575,2.98157453936349,4.75,189117,2433687,71142,3560790,35697,50052.7581021242,73397.4108891096,46714.7138012541,3.11032521007684
"4","Australia","2003",806709.726,30,4.967,4.967,"5.9324366218997078","5.8907326551792414","5.9838940870583617",33.5,0.3029,0.5576,2.73259596616783,5.23,208020,2648256,74394,3694184,42546,51798.5866440082,74395.0328837897,47349.6629826868,4.20544680664263
"5","Australia","2004",832204.483,30,5.47,5.47,"5.3992075924169178","5.2824992226706584","5.5438578995760128",33.1,0.3066,0.5581,2.34325522482587,5.25,224179,2881208,80238,3831382,49736,54199.4027107654,76695.1896777795,48813.6269703482,3.16033836934302
"6","Australia","2005",854897.812,30,5.766,5.766,"5.0356814944807136","4.881820671535464","5.2237451111117261",NA,0.3119,0.5588,2.69183168316831,5.5,246974,3140799,85883,3982383,57117,56018.5198639837,77550.1995810412,49357.8088760077,2.7268933854085
"7","Australia","2006",887114.53,30,6.282,6.282,"4.7847272803633416","4.6686135198403358","4.9257667499242332",NA,0.3256,0.5612,3.55528773727028,6.25,269922,3409670,89306,4132464,64393,58402.6860990912,78070.5158811344,49688.9707896302,3.76848759556774
"8","Australia","2007",918846.748,30,6.672,6.672,"4.3812663691975606","4.0422165764090678","4.7914110153423639",NA,0.3151,0.5591,2.32761128891476,6.75,293342,3688800,95169,4303918,72366,61884.247201585,80207.5970743323,51049.1432412323,3.57701479649984
"9","Australia","2008",936000.074,30,5.663,5.663,"4.2414556657609781","3.959241522587106","4.5813629253421384",35.4,0.2977,0.5575,4.35029854990047,4.35,342232,3910114,99527,4464113,78550,64343.7466963003,80720.7405697051,51375.7399322454,1.86683209548672
"10","Australia","2009",956333.151,30,4.589,4.589,"5.5648584000370107","5.6943446623654417","5.4098631394375341",NA,0.3119,0.5588,1.77111716621252,3.74,341337,4098067,98109,4622134,83353,65362.2080339163,79948.6134948649,50884.3098547751,2.17233711458018
"11","Australia","2010",979952.154,30,4.519,4.519,"5.2135700555364579","5.0746376609451413","5.3803173700011291",34.7,0.3137,0.5589,2.91834002677376,4.75,383745,4302684,97197,4782642,88722,69110.2746031737,82715.0810613203,52645.0632525028,2.46974634051978
"12","Australia","2011",1018340.431,30,5,5,"5.0827473672643713","4.894880718402626","5.3065061780222171",NA,0.3059,0.5593,3.30385015608744,4.3,407666,4531065,99010,4975288,94837,72978.5991874853,85380.7029848693,54341.6321607586,3.9173623776738
"13","Australia","2012",1044819.44,30,4.974,4.974,"5.224960461616174","5.1379329334358834","5.3281598717158039",NA,0.3182,0.5629,1.76278015613193,3.03,397352,4811023,103504,5168851,100484,75149.2632468591,85933.6036200018,54693.5327880133,2.60021189318761
"14","Australia","2013",1071597.447,30,4.761,4.761,"5.6633323556159656","5.7069341418698194","5.6118436023073377",NA,0.3293,0.5655,2.44988864142539,2.5,406136,5121015,106971,5340949,103927,76598.3394072311,85619.2032981,54493.4287124233,2.56293154346362
"15","Australia","2014",1094874.738,30,4.43,4.43,"6.0776925640929171","5.9961596049479278","6.1732323565070013",34.4,0.3271,0.5656,2.48792270531403,2.5,389772,5398736,111255,5485213,108125,78666.760266353,86350.6988503478,54958.9983415996,2.17220478316425
"16","Australia","2015",1124892.295,30,4.192,4.192,"6.0550580933165783","6.0386357919248521","6.0741537939346584",NA,0.3288,0.5635,1.50836672165921,2,374566,5604210,111617,5604210,111617,79206.7993312876,85777.6713631082,54594.2877238492,2.74164303533324
"17","Australia","2016",1150719,30,4.481,4.481,"5.7106428876673059","5.6502078327322218","5.7800279957398537",33.7,0.325,0.5616,1.27699094497328,1.5,434473,5806487,110295,5715130,116182,80054.6207296823,85957.1927581551,54708.5463944103,2.29592691805219
"18","Australia","2017",1183755.826,30,5.208,5.208,"5.592161264443166","5.5245324353783198","5.6691940346472007",NA,0.3356,0.5655,1.94864740944522,1.5,NA,6073852,114259,5840251,123102,80675.4970078862,85544.9781355452,54446.1871655676,2.8709724963262
"19","Australia","2018",1208770.356,30,5.399,5.399,"5.2996683474147321","5.2817001298968114","5.3199969689116857",34.3,0.3254,0.5672,1.91140094445692,1.5,NA,6316516,120072,5950908,130998,82187.7007110623,85764.2352695113,54585.7361515336,2.11314947310764
"20","Australia","2019",1208723.981,30,4.743,4.743,"5.1593323205162713","5.2059560541158838","5.1068957618541697",NA,0.326,0.5667,1.61076787290379,0.75,NA,NA,NA,NA,NA,84538.9408001655,86682.4716595907,55170.1593572686,-0.00383654345672918
"21","Australia","2020",1226554.628,30,NA,NA,"6.4559932247256047","6.5512857587669933","6.34925598420865",NA,0.326,0.565,0.846905537459293,0.1,NA,NA,NA,NA,NA,87379.0260559097,88700.6313163898,56454.6426875463,1.47516283951349
"22","Australia","2021",1284180.064,30,NA,NA,"5.1157213798863976","5.2095129727236271","5.0115781779310504",NA,0.326,0.5706,2.86391042204995,0.1,NA,NA,NA,NA,NA,88928.9043947396,88928.9043947396,56599.9299857557,4.69815487093005
